Zone,CO2 emissions (kt),Container port traffic (TEU: 20 foot equivalent units),Merchandise exports (current US$),Merchandise imports (current US$),Rail lines (total route-km),PIB Valeur US $,Volailles - Production (Milliers de tonnes),Population urbaine,Aliments Volailles (milliers de tonnes),region
Afrique du Sud,446626.0,4529034.0,90016000000,107539000000,20953.0,351430.991183,1816.0,38820.239,5721.0,Africa
Algérie,170582.4,1793990.0,35312000000,44632000000,4020.25,171158.234285,285.0,31236.431,4152.0,Africa
Allemagne,658693.5,15029605.0,1489412000000,1233978000000,33423.0,3888326.788627,1544.0,63787.507,12920.0,Europe
Arabie saoudite,526770.3,8905621.0,261603000000,153163000000,2977.5,792966.83819,800.0,28700.362,2511.0,Asia
Argentine,168162.0,1833964.0,65116000000,49124000000,17866.0,445445.254556,2249.0,41489.566,16050.0,Americas
Arménie,6195.6,1229081.0,2640000000,5514000000,698.4,13619.290546,12.0,1856.542,134.0,Asia
Australie,395199.1,8775819.0,271005000000,221564000000,2977.5,1380207.832899,1276.0,21607.414,5227.0,Oceania
Autriche,64497.8,1229081.0,178670000000,184758000000,4968.0,445011.872704,132.0,5129.574,1828.0,Europe
Azerbaïdjan,35521.0,1229081.0,19635000000,13668000000,2139.87,48174.235294,112.0,5611.295,787.0,Asia
Bangladesh,92645.0,3145919.0,39337000000,59094000000,2877.0,301051.101806,260.0,62865.82,5292.0,Asia
Belgique,92989.4,12389876.0,446910000000,428878000000,3615.0,535288.71524,448.0,11336.228,1680.0,Europe
Botswana,7198.3,1229081.0,5237000000,6564000000,886.0,18362.405202,4.0,1666.329,26.0,Africa
Brésil,434318.0,10704669.0,221127000000,193162000000,2977.5,1886014.572498,14094.0,184407.548,47668.0,Americas
Bulgarie,39159.9,261934.0,33340000000,37663000000,4030.0,68913.754204,109.0,5265.832,627.0,Europe
Burkina Faso,5646.5,1229081.0,3239000000,4284000000,518.0,15990.80321,204.0,6092.387,453.0,Africa
Cameroun,9557.3,370685.0,4084000000,6583000000,884.0,39007.353482,85.0,14420.409,664.0,Africa
Canada,566001.8,7000133.0,448817000000,462993000000,47987.47,1741496.789532,1506.0,30376.281,15546.0,Americas
Chili,91915.4,4647086.0,68794000000,69855000000,2396.0,279385.478377,769.0,16070.807,3368.0,Americas
Chine,10762824.0,243560000.0,2499457000000,2078386000000,102462.0,14700827.670843,21518.0,883204.937,218290.0,Asia
Colombie,79186.7,4316862.0,39489000000,52703000000,2977.5,323429.885859,1693.0,40430.278,5010.0,Americas
Croatie,16523.3,348435.0,17180000000,28160000000,2617.0,62246.204386,68.0,2369.901,1387.0,Europe
Danemark,29696.5,880039.0,111076000000,98184000000,2977.5,347561.349211,158.0,5081.84,3639.0,Europe
Espagne,241886.5,17464920.0,334018000000,372750000000,15718.0,1393046.093137,1631.0,37415.111,17195.0,Europe
Finlande,40987.1,1628170.0,73468000000,73716000000,5923.0,268782.47138,139.0,4751.986,311.0,Europe
Gabon,5274.5,192998.0,6722000000,2538000000,648.0,16874.40546,4.0,1892.734,23.0,Africa
Grèce,59990.3,6153567.0,37907000000,62384000000,2280.0,205144.162906,230.0,8831.631,2243.0,Europe
Géorgie,10549.6,601491.0,3798000000,9520000000,1378.0,17476.97647,23.0,2305.017,154.0,Asia
Hongrie,47261.8,1229081.0,123796000000,120590000000,7587.7,163526.491433,532.0,6917.508,3511.0,Europe
Inde,2423951.4,17487621.0,324340000000,486059000000,67414.07,2889949.137794,4387.0,471828.295,17520.0,Asia
Indonésie,605290.6,12111471.0,167683000000,171276000000,5483.0,1119091.262196,3975.0,150900.39,1894.0,Asia
Irlande,35812.2,1063489.0,169625000000,101104000000,1888.0,399122.063647,154.0,3073.341,2235.0,Europe
Israël,62796.3,2917000.0,58507000000,76591000000,1598.916,397934.603686,617.0,7940.232,2250.0,Asia
Italie,317223.0,10789337.0,537718000000,475006000000,16778.6,2009383.867307,1358.0,41887.345,12655.0,Europe
Japon,1073645.3,23276482.0,705564000000,720957000000,2977.5,5148781.948478,2298.0,116322.813,13040.0,Asia
Kazakhstan,204592.2,1229081.0,57309000000,37757000000,16060.8,181667.115805,214.0,10698.322,1152.0,Asia
Lettonie,7569.1,449850.0,15705000000,18959000000,1859.6,34308.783825,35.0,1303.794,196.0,Europe
Lituanie,11735.8,703000.0,33151000000,35759000000,1911.0,54697.379017,100.0,1943.693,349.0,Europe
Luxembourg,9500.3,1229081.0,16451000000,24264000000,288.0,70195.715496,0.0,544.596,32.0,Europe
Macédoine du Nord,7956.1,1229081.0,7189000000,9471000000,683.0,12547.045163,1.0,1214.639,245.0,Europe
Madagascar,3927.7,199712.5,2696000000,3942000000,673.0,14104.664678,86.0,10211.029,2.0,Africa
Malaisie,244882.0,26215322.0,238195000000,204998000000,1655.0,364684.031843,1655.0,24862.312,3509.0,Asia
Maroc,70986.3,6068803.0,29132000000,50734000000,2295.0,119870.737017,842.0,23077.9,2741.0,Africa
Mauritanie,3824.8,84457.99,2266000000,3520000000,728.0,7889.655285,5.0,2540.632,19.0,Africa
Mexique,451828.8,7113878.0,460604000000,467118000000,2977.5,1268868.331537,3515.0,106450.227,19767.0,Americas
Mongolie,23146.9,1229081.0,7620000000,6128000000,1814.0,13996.719189,0.0,2170.247,17.0,Asia
Monténégro,2601.1,15744.41,465000000,2909000000,250.0,5542.182456,4.0,422.615,36.0,Europe
Nigéria,119544.1,1627142.0,62531000000,55257000000,2977.5,474516.650002,240.0,102805.995,4985.0,Africa
Oman,75744.8,4890471.0,38724000000,23507000000,2977.5,76331.518668,7.0,4273.762,184.0,Asia
Ouzbékistan,117687.8,1229081.0,14024000000,21866000000,4735.0,57726.542785,64.0,16545.875,2234.0,Asia
Pakistan,184096.3,3150000.0,23329000000,50332000000,7791.0,253087.564027,1523.0,75510.639,2153.0,Asia
Panama,13099.9,7346859.0,11318000000,21492000000,2977.5,66787.866841,230.0,2876.295,494.0,Americas
Philippines,145871.3,9171944.0,70334000000,112909000000,2977.5,376823.404772,1509.0,50971.408,6900.0,Asia
Pologne,294948.3,3046483.0,266595000000,265282000000,18538.0,597284.45385,2568.0,22831.097,5290.0,Europe
Portugal,44564.7,2904086.0,67063000000,89538000000,2526.149,239986.922639,350.0,6743.854,2716.0,Europe
Pérou,56972.2,2677239.0,46444000000,42284000000,2977.5,228473.278308,1763.0,25721.093,5030.0,Americas
Roumanie,73942.8,666036.0,76871000000,96544000000,10759.0,249880.118218,507.0,10537.319,8036.0,Europe
Serbie,46030.1,1229081.0,19630000000,26730000000,3724.468,51514.242776,114.0,4913.42,4012.0,Europe
Slovénie,13665.0,959000.0,44943000000,44007000000,1209.0,54178.877606,70.0,1141.344,170.0,Europe
Soudan,22131.5,469526.0,3735000000,9291000000,2747.0,34895.36208,75.0,14852.586,2.0,Africa
Sri Lanka,23427.9,7230000.0,11940000000,19937000000,1562.0,83990.932868,187.0,3906.383,187.0,Asia
Suisse,37376.3,121366.0,313934000000,277830000000,3647.245487,731718.481696,100.0,6357.099,555.0,Europe
Suède,34964.6,1623363.0,160576000000,158971000000,9701.0,533879.529188,158.0,8817.415,1011.0,Europe
Tadjikistan,8965.7,1229081.0,1174000000,3349000000,620.0,8300.81389,16.0,2537.559,673.0,Asia
Thaïlande,274466.7,10130294.0,246269000000,236260000000,2977.5,544263.738706,1804.0,35132.892,5834.0,Asia
Tunisie,31045.0,474222.0,14933000000,21564000000,1777.0,39195.271092,227.0,8160.285,1357.0,Africa
Ukraine,174599.9,1007273.0,50054000000,60800000000,21625.9,153929.552493,1390.0,30425.95,8040.0,Europe
Uruguay,6806.7,749562.0,7680000000,8246000000,1498.0,61231.193299,72.0,3322.873,760.0,Americas
Zambie,7615.7,1229081.0,7039000000,7173000000,1248.0,23309.720448,51.0,7993.486,284.0,Africa
Zimbabwe,10185.3,1229081.0,4269000000,4817000000,3120.0,21935.075306,67.0,5571.525,92.0,Africa
Émirats arabes unis,185645.7,18802000.0,389428000000,288447000000,261.0,417215.559513,45.0,8402.99,680.0,Asia
