Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
Rail lines (total route-km),IS.RRS.TOTL.KM,Afghanistan,AFG,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Albania,ALB,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Algeria,DZA,4020.25
Rail lines (total route-km),IS.RRS.TOTL.KM,American Samoa,ASM,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Andorra,AND,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Angola,AGO,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Antigua and Barbuda,ATG,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Argentina,ARG,17866
Rail lines (total route-km),IS.RRS.TOTL.KM,Armenia,ARM,698.4
Rail lines (total route-km),IS.RRS.TOTL.KM,Aruba,ABW,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Australia,AUS,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Austria,AUT,4968
Rail lines (total route-km),IS.RRS.TOTL.KM,Azerbaijan,AZE,2139.87
Rail lines (total route-km),IS.RRS.TOTL.KM,"Bahamas, The",BHS,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Bahrain,BHR,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Bangladesh,BGD,2877
Rail lines (total route-km),IS.RRS.TOTL.KM,Barbados,BRB,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Belarus,BLR,5459.2
Rail lines (total route-km),IS.RRS.TOTL.KM,Belgium,BEL,3615
Rail lines (total route-km),IS.RRS.TOTL.KM,Belize,BLZ,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Benin,BEN,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Bermuda,BMU,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Bhutan,BTN,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Bolivia,BOL,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Bosnia and Herzegovina,BIH,1018.054
Rail lines (total route-km),IS.RRS.TOTL.KM,Botswana,BWA,886
Rail lines (total route-km),IS.RRS.TOTL.KM,Brazil,BRA,..
Rail lines (total route-km),IS.RRS.TOTL.KM,British Virgin Islands,VGB,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Brunei Darussalam,BRN,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Bulgaria,BGR,4030
Rail lines (total route-km),IS.RRS.TOTL.KM,Burkina Faso,BFA,518
Rail lines (total route-km),IS.RRS.TOTL.KM,Burundi,BDI,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Cabo Verde,CPV,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Cambodia,KHM,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Cameroon,CMR,884
Rail lines (total route-km),IS.RRS.TOTL.KM,Canada,CAN,47987.47
Rail lines (total route-km),IS.RRS.TOTL.KM,Cayman Islands,CYM,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Central African Republic,CAF,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Chad,TCD,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Channel Islands,CHI,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Chile,CHL,2396
Rail lines (total route-km),IS.RRS.TOTL.KM,China,CHN,102462
Rail lines (total route-km),IS.RRS.TOTL.KM,Colombia,COL,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Comoros,COM,..
Rail lines (total route-km),IS.RRS.TOTL.KM,"Congo, Dem. Rep.",COD,3641
Rail lines (total route-km),IS.RRS.TOTL.KM,"Congo, Rep.",COG,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Costa Rica,CRI,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Cote d'Ivoire,CIV,639
Rail lines (total route-km),IS.RRS.TOTL.KM,Croatia,HRV,2617
Rail lines (total route-km),IS.RRS.TOTL.KM,Cuba,CUB,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Curacao,CUW,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Cyprus,CYP,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Czechia,CZE,9396
Rail lines (total route-km),IS.RRS.TOTL.KM,Denmark,DNK,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Djibouti,DJI,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Dominica,DMA,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Dominican Republic,DOM,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Ecuador,ECU,..
Rail lines (total route-km),IS.RRS.TOTL.KM,"Egypt, Arab Rep.",EGY,..
Rail lines (total route-km),IS.RRS.TOTL.KM,El Salvador,SLV,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Equatorial Guinea,GNQ,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Eritrea,ERI,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Estonia,EST,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Eswatini,SWZ,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Ethiopia,ETH,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Faroe Islands,FRO,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Fiji,FJI,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Finland,FIN,5923
Rail lines (total route-km),IS.RRS.TOTL.KM,France,FRA,28157
Rail lines (total route-km),IS.RRS.TOTL.KM,French Polynesia,PYF,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Gabon,GAB,648
Rail lines (total route-km),IS.RRS.TOTL.KM,"Gambia, The",GMB,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Georgia,GEO,1378
Rail lines (total route-km),IS.RRS.TOTL.KM,Germany,DEU,33423
Rail lines (total route-km),IS.RRS.TOTL.KM,Ghana,GHA,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Gibraltar,GIB,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Greece,GRC,2280
Rail lines (total route-km),IS.RRS.TOTL.KM,Greenland,GRL,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Grenada,GRD,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Guam,GUM,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Guatemala,GTM,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Guinea,GIN,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Guinea-Bissau,GNB,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Guyana,GUY,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Haiti,HTI,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Honduras,HND,..
Rail lines (total route-km),IS.RRS.TOTL.KM,"Hong Kong SAR, China",HKG,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Hungary,HUN,7587.7
Rail lines (total route-km),IS.RRS.TOTL.KM,Iceland,ISL,..
Rail lines (total route-km),IS.RRS.TOTL.KM,India,IND,67414.07
Rail lines (total route-km),IS.RRS.TOTL.KM,Indonesia,IDN,5483
Rail lines (total route-km),IS.RRS.TOTL.KM,"Iran, Islamic Rep.",IRN,9454
Rail lines (total route-km),IS.RRS.TOTL.KM,Iraq,IRQ,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Ireland,IRL,1888
Rail lines (total route-km),IS.RRS.TOTL.KM,Isle of Man,IMN,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Israel,ISR,1598.916
Rail lines (total route-km),IS.RRS.TOTL.KM,Italy,ITA,16778.6
Rail lines (total route-km),IS.RRS.TOTL.KM,Jamaica,JAM,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Japan,JPN,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Jordan,JOR,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Kazakhstan,KAZ,16060.8
Rail lines (total route-km),IS.RRS.TOTL.KM,Kenya,KEN,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Kiribati,KIR,..
Rail lines (total route-km),IS.RRS.TOTL.KM,"Korea, Dem. People's Rep.",PRK,..
Rail lines (total route-km),IS.RRS.TOTL.KM,"Korea, Rep.",KOR,4109.15
Rail lines (total route-km),IS.RRS.TOTL.KM,Kosovo,XKX,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Kuwait,KWT,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Kyrgyz Republic,KGZ,424
Rail lines (total route-km),IS.RRS.TOTL.KM,Lao PDR,LAO,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Latvia,LVA,1859.6
Rail lines (total route-km),IS.RRS.TOTL.KM,Lebanon,LBN,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Lesotho,LSO,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Liberia,LBR,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Libya,LBY,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Liechtenstein,LIE,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Lithuania,LTU,1911
Rail lines (total route-km),IS.RRS.TOTL.KM,Luxembourg,LUX,288
Rail lines (total route-km),IS.RRS.TOTL.KM,"Macao SAR, China",MAC,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Madagascar,MDG,673
Rail lines (total route-km),IS.RRS.TOTL.KM,Malawi,MWI,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Malaysia,MYS,1655
Rail lines (total route-km),IS.RRS.TOTL.KM,Maldives,MDV,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Mali,MLI,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Malta,MLT,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Marshall Islands,MHL,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Mauritania,MRT,728
Rail lines (total route-km),IS.RRS.TOTL.KM,Mauritius,MUS,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Mexico,MEX,..
Rail lines (total route-km),IS.RRS.TOTL.KM,"Micronesia, Fed. Sts.",FSM,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Moldova,MDA,1151
Rail lines (total route-km),IS.RRS.TOTL.KM,Monaco,MCO,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Mongolia,MNG,1814
Rail lines (total route-km),IS.RRS.TOTL.KM,Montenegro,MNE,250
Rail lines (total route-km),IS.RRS.TOTL.KM,Morocco,MAR,2295
Rail lines (total route-km),IS.RRS.TOTL.KM,Mozambique,MOZ,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Myanmar,MMR,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Namibia,NAM,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Nauru,NRU,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Nepal,NPL,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Netherlands,NLD,3078
Rail lines (total route-km),IS.RRS.TOTL.KM,New Caledonia,NCL,..
Rail lines (total route-km),IS.RRS.TOTL.KM,New Zealand,NZL,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Nicaragua,NIC,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Niger,NER,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Nigeria,NGA,..
Rail lines (total route-km),IS.RRS.TOTL.KM,North Macedonia,MKD,683
Rail lines (total route-km),IS.RRS.TOTL.KM,Northern Mariana Islands,MNP,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Norway,NOR,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Oman,OMN,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Pakistan,PAK,7791
Rail lines (total route-km),IS.RRS.TOTL.KM,Palau,PLW,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Panama,PAN,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Papua New Guinea,PNG,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Paraguay,PRY,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Peru,PER,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Philippines,PHL,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Poland,POL,18538
Rail lines (total route-km),IS.RRS.TOTL.KM,Portugal,PRT,2526.149
Rail lines (total route-km),IS.RRS.TOTL.KM,Puerto Rico,PRI,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Qatar,QAT,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Romania,ROU,10759
Rail lines (total route-km),IS.RRS.TOTL.KM,Russian Federation,RUS,85494
Rail lines (total route-km),IS.RRS.TOTL.KM,Rwanda,RWA,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Samoa,WSM,..
Rail lines (total route-km),IS.RRS.TOTL.KM,San Marino,SMR,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Sao Tome and Principe,STP,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Saudi Arabia,SAU,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Senegal,SEN,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Serbia,SRB,3724.468
Rail lines (total route-km),IS.RRS.TOTL.KM,Seychelles,SYC,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Sierra Leone,SLE,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Singapore,SGP,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Sint Maarten (Dutch part),SXM,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Slovak Republic,SVK,3629.154
Rail lines (total route-km),IS.RRS.TOTL.KM,Slovenia,SVN,1209
Rail lines (total route-km),IS.RRS.TOTL.KM,Solomon Islands,SLB,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Somalia,SOM,..
Rail lines (total route-km),IS.RRS.TOTL.KM,South Africa,ZAF,20953
Rail lines (total route-km),IS.RRS.TOTL.KM,South Sudan,SSD,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Spain,ESP,15718
Rail lines (total route-km),IS.RRS.TOTL.KM,Sri Lanka,LKA,1562
Rail lines (total route-km),IS.RRS.TOTL.KM,St. Kitts and Nevis,KNA,..
Rail lines (total route-km),IS.RRS.TOTL.KM,St. Lucia,LCA,..
Rail lines (total route-km),IS.RRS.TOTL.KM,St. Martin (French part),MAF,..
Rail lines (total route-km),IS.RRS.TOTL.KM,St. Vincent and the Grenadines,VCT,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Sudan,SDN,2747
Rail lines (total route-km),IS.RRS.TOTL.KM,Suriname,SUR,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Sweden,SWE,9701
Rail lines (total route-km),IS.RRS.TOTL.KM,Switzerland,CHE,3647.245487
Rail lines (total route-km),IS.RRS.TOTL.KM,Syrian Arab Republic,SYR,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Tajikistan,TJK,620
Rail lines (total route-km),IS.RRS.TOTL.KM,Tanzania,TZA,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Thailand,THA,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Timor-Leste,TLS,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Togo,TGO,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Tonga,TON,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Trinidad and Tobago,TTO,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Tunisia,TUN,1777
Rail lines (total route-km),IS.RRS.TOTL.KM,Turkiye,TUR,10378
Rail lines (total route-km),IS.RRS.TOTL.KM,Turkmenistan,TKM,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Turks and Caicos Islands,TCA,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Tuvalu,TUV,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Uganda,UGA,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Ukraine,UKR,21625.9
Rail lines (total route-km),IS.RRS.TOTL.KM,United Arab Emirates,ARE,261
Rail lines (total route-km),IS.RRS.TOTL.KM,United Kingdom,GBR,16295
Rail lines (total route-km),IS.RRS.TOTL.KM,United States,USA,149488.6469
Rail lines (total route-km),IS.RRS.TOTL.KM,Uruguay,URY,1498
Rail lines (total route-km),IS.RRS.TOTL.KM,Uzbekistan,UZB,4735
Rail lines (total route-km),IS.RRS.TOTL.KM,Vanuatu,VUT,..
Rail lines (total route-km),IS.RRS.TOTL.KM,"Venezuela, RB",VEN,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Vietnam,VNM,2481
Rail lines (total route-km),IS.RRS.TOTL.KM,Virgin Islands (U.S.),VIR,..
Rail lines (total route-km),IS.RRS.TOTL.KM,West Bank and Gaza,PSE,..
Rail lines (total route-km),IS.RRS.TOTL.KM,"Yemen, Rep.",YEM,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Zambia,ZMB,1248
Rail lines (total route-km),IS.RRS.TOTL.KM,Zimbabwe,ZWE,3120
Rail lines (total route-km),IS.RRS.TOTL.KM,Africa Eastern and Southern,AFE,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Africa Western and Central,AFW,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Arab World,ARB,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Caribbean small states,CSS,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Central Europe and the Baltics,CEB,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Early-demographic dividend,EAR,..
Rail lines (total route-km),IS.RRS.TOTL.KM,East Asia & Pacific,EAS,..
Rail lines (total route-km),IS.RRS.TOTL.KM,East Asia & Pacific (excluding high income),EAP,..
Rail lines (total route-km),IS.RRS.TOTL.KM,East Asia & Pacific (IDA & IBRD countries),TEA,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Euro area,EMU,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Europe & Central Asia,ECS,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Europe & Central Asia (excluding high income),ECA,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Europe & Central Asia (IDA & IBRD countries),TEC,..
Rail lines (total route-km),IS.RRS.TOTL.KM,European Union,EUU,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Fragile and conflict affected situations,FCS,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Heavily indebted poor countries (HIPC),HPC,..
Rail lines (total route-km),IS.RRS.TOTL.KM,High income,HIC,..
Rail lines (total route-km),IS.RRS.TOTL.KM,IBRD only,IBD,..
Rail lines (total route-km),IS.RRS.TOTL.KM,IDA & IBRD total,IBT,..
Rail lines (total route-km),IS.RRS.TOTL.KM,IDA blend,IDB,..
Rail lines (total route-km),IS.RRS.TOTL.KM,IDA only,IDX,..
Rail lines (total route-km),IS.RRS.TOTL.KM,IDA total,IDA,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Late-demographic dividend,LTE,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Latin America & Caribbean,LCN,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Latin America & Caribbean (excluding high income),LAC,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Latin America & the Caribbean (IDA & IBRD countries),TLA,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Least developed countries: UN classification,LDC,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Low & middle income,LMY,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Low income,LIC,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Lower middle income,LMC,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Middle East & North Africa,MEA,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Middle East & North Africa (excluding high income),MNA,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Middle East & North Africa (IDA & IBRD countries),TMN,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Middle income,MIC,..
Rail lines (total route-km),IS.RRS.TOTL.KM,North America,NAC,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Not classified,INX,..
Rail lines (total route-km),IS.RRS.TOTL.KM,OECD members,OED,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Other small states,OSS,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Pacific island small states,PSS,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Post-demographic dividend,PST,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Pre-demographic dividend,PRE,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Small states,SST,..
Rail lines (total route-km),IS.RRS.TOTL.KM,South Asia,SAS,..
Rail lines (total route-km),IS.RRS.TOTL.KM,South Asia (IDA & IBRD),TSA,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Sub-Saharan Africa,SSF,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Sub-Saharan Africa (excluding high income),SSA,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Sub-Saharan Africa (IDA & IBRD countries),TSS,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Upper middle income,UMC,..
Rail lines (total route-km),IS.RRS.TOTL.KM,World,WLD,..
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 06/29/2023,,,,
